id;person_id1;person_id2;amount;;;('884-38-3542', '776-52-9204') - 500 
113;468-77-4288;440-96-4450;586,00;;;
114;316-16-8079;280-72-2823;906,00;;;
115;322-84-0335;462-20-3505;455,00;;;
116;359-33-2805;844-81-0333;771,00;;;
117;187-44-4055;423-59-5269;978,00;;;
118;685-29-3762;884-38-3542;56,00;;;
119;652-88-6983;187-44-4055;64,00;;;
120;782-21-0023;736-74-0267;510,00;;;
121;194-28-1044;293-16-7638;343,00;;;
122;462-20-3505;814-47-7782;201,00;;;
123;533-01-1119;307-86-4146;643,00;;;
124;815-75-0678;380-33-3471;804,00;;;
125;604-17-4858;726-98-9896;221,00;;;
126;350-76-4581;114-77-8561;310,00;;;
127;884-38-3542;884-38-3542;161,00;;;
128;267-84-4305;293-16-7638;125,00;;;
129;884-38-3542;231-60-2925;93,00;;;
130;473-92-2173;473-92-2173;108,00;;;
131;182-91-9414;664-94-4158;567,00;;;
132;897-83-6353;395-96-3422;497,00;;;
133;616-64-4164;554-99-3518;412,00;;;
134;505-06-4182;267-84-4305;992,00;;;
135;604-17-4858;700-19-8202;554,00;;;
136;500-80-0113;211-62-3861;464,00;;;
137;604-17-4858;484-85-3577;242,00;;;
138;180-68-7704;645-83-0179;286,00;;;
139;848-01-9094;751-79-3881;617,00;;;
140;418-32-2400;462-20-3505;626,00;;;
141;318-72-3945;585-26-7329;897,00;;;
142;231-62-0816;722-41-3663;773,00;;;
143;452-71-0670;506-40-7881;689,00;;;
144;267-02-2620;182-91-9414;756,00;;;
145;316-16-8079;212-63-7394;948,00;;;
146;776-52-9204;685-29-3762;201,00;;;
147;363-69-7373;592-89-3532;486,00;;;
148;267-02-2620;231-62-0816;174,00;;;
149;230-71-0031;484-85-3577;346,00;;;
150;133-42-9805;266-07-5848;764,00;;;
151;468-77-4288;745-18-6689;315,00;;;
152;701-29-0287;751-79-3881;852,00;;;
153;745-18-6689;857-48-4236;794,00;;;
154;180-68-7704;585-26-7329;962,00;;;
155;897-83-6353;711-12-7607;842,00;;;
156;751-79-3881;280-72-2823;183,00;;;
157;869-07-9041;653-73-2887;939,00;;;
158;127-07-1934;830-73-2137;192,00;;;
159;183-60-8437;318-72-3945;918,00;;;
160;577-36-4160;280-72-2823;993,00;;;
161;329-95-9039;592-89-3532;628,00;;;
162;814-47-7782;737-39-6279;285,00;;;
163;322-84-0335;363-69-7373;93,00;;;
164;363-69-7373;652-88-6983;527,00;;;
165;645-83-0179;645-83-0179;985,00;;;
166;751-79-3881;395-96-3422;94,00;;;
167;359-33-2805;440-96-4450;465,00;;;
168;307-86-4146;879-10-1534;428,00;;;
169;542-47-0145;844-81-0333;344,00;;;
170;182-91-9414;508-38-2534;806,00;;;
171;737-39-6279;542-47-0145;663,00;;;
172;652-85-6112;879-10-1534;763,00;;;
173;653-73-2887;127-07-1934;891,00;;;
174;830-73-2137;418-32-2400;658,00;;;
175;776-97-0801;473-92-2173;775,00;;;
176;610-96-4049;363-69-7373;187,00;;;
177;711-12-7607;350-76-4581;627,00;;;
178;814-47-7782;664-94-4158;180,00;;;
179;533-01-1119;816-07-9951;383,00;;;
180;127-07-1934;665-74-7482;514,00;;;
181;350-76-4581;701-29-0287;386,00;;;
182;423-59-5269;884-38-3542;786,00;;;
183;745-18-6689;652-88-6983;817,00;;;
184;592-89-3532;585-26-7329;674,00;;;
185;782-21-0023;231-60-2925;491,00;;;
186;178-82-4865;585-26-7329;627,00;;;
187;114-49-3228;542-47-0145;829,00;;;
188;182-91-9414;737-39-6279;314,00;;;
189;652-85-6112;147-58-0553;141,00;;;
190;293-16-7638;879-10-1534;61,00;;;
191;665-74-7482;814-47-7782;402,00;;;
192;211-62-3861;322-84-0335;400,00;;;
193;508-38-2534;276-64-0016;517,00;;;
194;664-94-4158;884-38-3542;882,00;;;
195;814-47-7782;685-29-3762;103,00;;;
196;267-84-4305;178-82-4865;225,00;;;
197;363-69-7373;381-51-7467;214,00;;;
198;329-95-9039;857-48-4236;597,00;;;
199;884-38-3542;645-83-0179;462,00;;;
200;127-07-1934;395-96-3422;429,00;;;
201;844-81-0333;211-62-3861;860,00;;;
202;423-59-5269;751-79-3881;725,00;;;
203;381-51-7467;542-47-0145;297,00;;;
204;643-85-8364;897-83-6353;916,00;;;
205;182-91-9414;811-96-4434;398,00;;;
206;711-12-7607;848-01-9094;655,00;;;
207;816-07-9951;533-01-1119;176,00;;;
208;533-01-1119;307-86-4146;322,00;;;
209;879-10-1534;178-82-4865;869,00;;;
210;653-73-2887;350-76-4581;459,00;;;
211;231-60-2925;664-94-4158;455,00;;;
212;473-92-2173;884-38-3542;329,00;;;
213;508-38-2534;652-88-6983;538,00;;;
214;267-02-2620;231-62-0816;744,00;;;
215;776-97-0801;183-60-8437;418,00;;;
216;452-71-0670;212-63-7394;811,00;;;
217;106-52-3658;267-84-4305;177,00;;;
218;182-91-9414;183-60-8437;312,00;;;
219;423-59-5269;857-48-4236;619,00;;;
220;182-91-9414;267-02-2620;479,00;;;
221;726-98-9896;776-97-0801;306,00;;;
222;533-01-1119;745-18-6689;663,00;;;
223;381-51-7467;106-52-3658;286,00;;;
224;363-69-7373;815-75-0678;230,00;;;
225;737-39-6279;782-21-0023;728,00;;;
226;505-06-4182;211-62-3861;720,00;;;
227;884-38-3542;280-72-2823;588,00;;;
228;231-62-0816;280-72-2823;92,00;;;
229;468-77-4288;816-07-9951;141,00;;;
230;359-33-2805;363-69-7373;857,00;;;
231;312-06-7133;844-81-0333;847,00;;;
232;811-96-4434;289-48-9142;831,00;;;
233;468-77-4288;533-01-1119;241,00;;;
234;857-48-4236;533-01-1119;420,00;;;
235;266-07-5848;652-85-6112;294,00;;;
236;664-94-4158;815-75-0678;317,00;;;
237;592-89-3532;616-64-4164;442,00;;;
238;867-72-5617;194-28-1044;424,00;;;
239;643-85-8364;811-96-4434;359,00;;;
240;180-68-7704;508-38-2534;490,00;;;
241;857-48-4236;746-67-6269;59,00;;;
242;316-16-8079;604-17-4858;788,00;;;
243;180-68-7704;318-72-3945;801,00;;;
244;468-77-4288;452-71-0670;538,00;;;
245;363-69-7373;230-71-0031;264,00;;;
246;187-44-4055;604-17-4858;693,00;;;
247;610-96-4049;604-17-4858;91,00;;;
248;418-32-2400;879-10-1534;570,00;;;
249;711-12-7607;484-97-3669;103,00;;;
250;776-52-9204;505-06-4182;148,00;;;
251;276-64-0016;231-62-0816;530,00;;;
252;722-41-3663;211-62-3861;848,00;;;
253;280-72-2823;505-06-4182;888,00;;;
254;665-74-7482;132-36-8264;75,00;;;
255;395-96-3422;289-48-9142;748,00;;;
256;231-62-0816;506-40-7881;132,00;;;
257;423-59-5269;782-21-0023;55,00;;;
258;280-72-2823;307-86-4146;861,00;;;
259;316-16-8079;137-59-6823;969,00;;;
260;664-94-4158;745-18-6689;686,00;;;
261;182-91-9414;418-32-2400;587,00;;;
262;276-64-0016;554-99-3518;392,00;;;
263;726-98-9896;178-82-4865;273,00;;;
264;395-96-3422;838-85-9491;345,00;;;
265;350-76-4581;132-36-8264;56,00;;;
266;592-89-3532;508-38-2534;669,00;;;
267;500-80-0113;293-16-7638;797,00;;;
268;106-52-3658;276-64-0016;216,00;;;
269;722-67-8736;280-72-2823;204,00;;;
270;307-86-4146;289-48-9142;283,00;;;
271;722-67-8736;329-95-9039;853,00;;;
272;867-72-5617;830-73-2137;214,00;;;
273;745-18-6689;879-10-1534;404,00;;;
274;440-96-4450;350-76-4581;746,00;;;
275;830-73-2137;322-84-0335;870,00;;;
276;359-33-2805;182-91-9414;553,00;;;
277;592-89-3532;316-16-8079;769,00;;;
278;473-92-2173;114-49-3228;973,00;;;
279;643-85-8364;508-38-2534;661,00;;;
280;211-62-3861;473-92-2173;744,00;;;
281;685-29-3762;776-97-0801;510,00;;;
282;814-47-7782;616-64-4164;66,00;;;
283;577-36-4160;380-33-3471;288,00;;;
284;645-83-0179;884-38-3542;492,00;;;
285;610-96-4049;508-38-2534;984,00;;;
286;484-97-3669;508-38-2534;160,00;;;
287;182-91-9414;604-17-4858;761,00;;;
288;746-67-6269;838-85-9491;449,00;;;
289;506-40-7881;452-71-0670;422,00;;;
290;322-84-0335;440-96-4450;964,00;;;
291;106-52-3658;811-96-4434;738,00;;;
292;187-44-4055;665-74-7482;860,00;;;
293;484-97-3669;506-40-7881;858,00;;;
294;194-28-1044;838-85-9491;563,00;;;
295;745-18-6689;736-74-0267;64,00;;;
296;350-76-4581;350-76-4581;399,00;;;
297;280-72-2823;329-95-9039;129,00;;;
298;604-17-4858;610-96-4049;316,00;;;
299;665-74-7482;653-73-2887;825,00;;;
300;448-98-4201;132-36-8264;819,00;;;
301;542-47-0145;114-77-8561;297,00;;;
302;231-62-0816;884-38-3542;977,00;;;
303;231-62-0816;746-67-6269;141,00;;;
304;604-17-4858;137-59-6823;130,00;;;
305;318-72-3945;711-12-7607;687,00;;;
306;665-74-7482;363-69-7373;485,00;;;
307;701-29-0287;329-95-9039;50,00;;;
308;381-51-7467;811-96-4434;413,00;;;
309;542-47-0145;751-79-3881;407,00;;;
310;645-83-0179;811-96-4434;428,00;;;
311;745-18-6689;180-68-7704;608,00;;;
312;267-02-2620;664-94-4158;633,00;;;
313;211-62-3861;745-18-6689;584,00;;;
314;230-71-0031;811-29-1135;713,00;;;
315;452-71-0670;652-85-6112;771,00;;;
316;585-26-7329;231-60-2925;697,00;;;
317;814-47-7782;307-86-4146;198,00;;;
318;776-97-0801;178-82-4865;852,00;;;
319;652-85-6112;468-77-4288;903,00;;;
320;418-32-2400;776-97-0801;597,00;;;
321;701-29-0287;645-83-0179;477,00;;;
322;848-01-9094;180-68-7704;894,00;;;
323;746-67-6269;542-47-0145;922,00;;;
324;585-26-7329;473-92-2173;595,00;;;
325;610-96-4049;745-18-6689;800,00;;;
326;194-28-1044;178-82-4865;467,00;;;
327;114-77-8561;147-58-0553;783,00;;;
328;700-19-8202;194-28-1044;914,00;;;
329;776-52-9204;652-88-6983;838,00;;;
330;737-39-6279;665-74-7482;774,00;;;
331;106-52-3658;106-52-3658;323,00;;;
332;182-91-9414;452-71-0670;840,00;;;
333;381-51-7467;505-06-4182;669,00;;;
334;183-60-8437;652-88-6983;658,00;;;
335;653-73-2887;745-18-6689;387,00;;;
336;266-07-5848;473-92-2173;830,00;;;
337;505-06-4182;322-84-0335;516,00;;;
338;395-96-3422;137-59-6823;585,00;;;
339;381-51-7467;827-17-8065;898,00;;;
340;448-98-4201;133-42-9805;803,00;;;
341;811-96-4434;380-33-3471;822,00;;;
342;187-44-4055;178-82-4865;279,00;;;
343;230-71-0031;381-51-7467;930,00;;;
344;782-21-0023;737-39-6279;668,00;;;
345;645-83-0179;381-51-7467;431,00;;;
346;585-26-7329;127-07-1934;518,00;;;
347;231-60-2925;316-16-8079;148,00;;;
348;440-96-4450;746-67-6269;903,00;;;
349;616-64-4164;643-85-8364;865,00;;;
350;183-60-8437;132-36-8264;140,00;;;
351;653-73-2887;554-99-3518;442,00;;;
352;554-99-3518;830-73-2137;781,00;;;
353;505-06-4182;554-99-3518;617,00;;;
354;230-71-0031;212-63-7394;101,00;;;
355;857-48-4236;664-94-4158;219,00;;;
356;827-17-8065;473-92-2173;220,00;;;
357;664-94-4158;212-63-7394;964,00;;;
358;711-12-7607;782-21-0023;853,00;;;
359;884-38-3542;114-49-3228;445,00;;;
360;182-91-9414;267-84-4305;129,00;;;
361;147-58-0553;187-44-4055;220,00;;;
362;462-20-3505;585-26-7329;54,00;;;
363;816-07-9951;280-72-2823;991,00;;;
364;276-64-0016;652-85-6112;433,00;;;
365;827-17-8065;857-48-4236;630,00;;;
366;350-76-4581;380-33-3471;966,00;;;
367;776-52-9204;212-63-7394;929,00;;;
368;652-85-6112;838-85-9491;697,00;;;
369;440-96-4450;276-64-0016;653,00;;;
370;848-01-9094;267-84-4305;966,00;;;
371;212-63-7394;610-96-4049;146,00;;;
372;106-52-3658;827-17-8065;527,00;;;
373;782-21-0023;322-84-0335;873,00;;;
374;289-48-9142;114-49-3228;479,00;;;
375;701-29-0287;137-59-6823;927,00;;;
376;132-36-8264;816-07-9951;903,00;;;
377;183-60-8437;700-19-8202;245,00;;;
378;276-64-0016;266-07-5848;460,00;;;
379;418-32-2400;350-76-4581;547,00;;;
380;592-89-3532;380-33-3471;345,00;;;
381;505-06-4182;380-33-3471;432,00;;;
382;180-68-7704;737-39-6279;741,00;;;
383;267-02-2620;776-52-9204;509,00;;;
384;267-84-4305;844-81-0333;496,00;;;
385;643-85-8364;505-06-4182;620,00;;;
386;395-96-3422;440-96-4450;214,00;;;
387;178-82-4865;711-12-7607;193,00;;;
388;267-84-4305;505-06-4182;135,00;;;
389;838-85-9491;359-33-2805;826,00;;;
390;147-58-0553;473-92-2173;663,00;;;
391;350-76-4581;533-01-1119;500,00;;;
392;664-94-4158;701-29-0287;204,00;;;
393;711-12-7607;211-62-3861;691,00;;;
394;307-86-4146;827-17-8065;63,00;;;
395;127-07-1934;830-73-2137;498,00;;;
396;147-58-0553;363-69-7373;708,00;;;
397;848-01-9094;737-39-6279;320,00;;;
398;500-80-0113;182-91-9414;854,00;;;
399;897-83-6353;440-96-4450;770,00;;;
400;884-38-3542;147-58-0553;944,00;;;
401;652-88-6983;230-71-0031;415,00;;;
402;114-77-8561;554-99-3518;267,00;;;
403;857-48-4236;776-97-0801;473,00;;;
404;884-38-3542;722-41-3663;330,00;;;
405;506-40-7881;500-80-0113;423,00;;;
406;848-01-9094;500-80-0113;309,00;;;
407;322-84-0335;652-88-6983;997,00;;;
408;869-07-9041;751-79-3881;887,00;;;
409;395-96-3422;604-17-4858;180,00;;;
410;610-96-4049;700-19-8202;704,00;;;
411;178-82-4865;114-49-3228;500,00;;;
412;316-16-8079;187-44-4055;113,00;;;
413;468-77-4288;322-84-0335;189,00;;;
414;685-29-3762;211-62-3861;210,00;;;
415;280-72-2823;722-67-8736;71,00;;;
416;592-89-3532;610-96-4049;447,00;;;
417;577-36-4160;316-16-8079;800,00;;;
418;722-41-3663;838-85-9491;214,00;;;
419;293-16-7638;280-72-2823;109,00;;;
420;857-48-4236;180-68-7704;103,00;;;
421;276-64-0016;307-86-4146;77,00;;;
422;700-19-8202;267-84-4305;785,00;;;
423;616-64-4164;462-20-3505;807,00;;;
424;610-96-4049;736-74-0267;595,00;;;
425;137-59-6823;452-71-0670;363,00;;;
426;114-77-8561;604-17-4858;394,00;;;
427;542-47-0145;746-67-6269;220,00;;;
428;726-98-9896;857-48-4236;797,00;;;
429;554-99-3518;508-38-2534;371,00;;;
430;701-29-0287;884-38-3542;856,00;;;
431;106-52-3658;187-44-4055;351,00;;;
432;700-19-8202;506-40-7881;686,00;;;
433;462-20-3505;318-72-3945;319,00;;;
434;267-84-4305;114-77-8561;575,00;;;
435;289-48-9142;577-36-4160;513,00;;;
436;307-86-4146;814-47-7782;871,00;;;
437;329-95-9039;844-81-0333;536,00;;;
438;645-83-0179;106-52-3658;723,00;;;
439;267-84-4305;363-69-7373;905,00;;;
440;867-72-5617;776-97-0801;383,00;;;
441;484-85-3577;652-85-6112;457,00;;;
442;267-84-4305;746-67-6269;159,00;;;
443;652-88-6983;289-48-9142;180,00;;;
444;652-85-6112;653-73-2887;704,00;;;
445;133-42-9805;610-96-4049;452,00;;;
446;468-77-4288;554-99-3518;962,00;;;
447;452-71-0670;440-96-4450;123,00;;;
448;484-85-3577;180-68-7704;324,00;;;
449;473-92-2173;484-85-3577;130,00;;;
450;722-41-3663;473-92-2173;481,00;;;
451;844-81-0333;604-17-4858;212,00;;;
452;867-72-5617;533-01-1119;958,00;;;
453;484-85-3577;726-98-9896;63,00;;;
454;137-59-6823;736-74-0267;427,00;;;
455;178-82-4865;500-80-0113;359,00;;;
456;114-77-8561;711-12-7607;76,00;;;
457;147-58-0553;440-96-4450;152,00;;;
458;473-92-2173;423-59-5269;924,00;;;
459;293-16-7638;816-07-9951;405,00;;;
460;652-85-6112;183-60-8437;233,00;;;
461;815-75-0678;183-60-8437;952,00;;;
462;114-77-8561;542-47-0145;902,00;;;
463;211-62-3861;289-48-9142;72,00;;;
464;183-60-8437;827-17-8065;519,00;;;
465;505-06-4182;280-72-2823;730,00;;;
466;473-92-2173;776-97-0801;702,00;;;
467;700-19-8202;506-40-7881;856,00;;;
468;127-07-1934;869-07-9041;687,00;;;
469;554-99-3518;363-69-7373;499,00;;;
470;182-91-9414;106-52-3658;155,00;;;
471;194-28-1044;867-72-5617;826,00;;;
472;133-42-9805;884-38-3542;944,00;;;
473;722-67-8736;585-26-7329;246,00;;;
474;782-21-0023;879-10-1534;307,00;;;
475;133-42-9805;114-77-8561;495,00;;;
476;267-84-4305;776-97-0801;833,00;;;
477;280-72-2823;700-19-8202;521,00;;;
478;585-26-7329;381-51-7467;319,00;;;
479;711-12-7607;645-83-0179;758,00;;;
480;114-77-8561;505-06-4182;810,00;;;
481;814-47-7782;183-60-8437;147,00;;;
482;508-38-2534;857-48-4236;110,00;;;
483;848-01-9094;114-77-8561;545,00;;;
484;737-39-6279;776-52-9204;907,00;;;
485;484-97-3669;838-85-9491;427,00;;;
486;879-10-1534;722-41-3663;958,00;;;
487;610-96-4049;462-20-3505;807,00;;;
488;462-20-3505;267-02-2620;249,00;;;
489;745-18-6689;533-01-1119;159,00;;;
490;700-19-8202;827-17-8065;111,00;;;
491;231-62-0816;652-88-6983;956,00;;;
492;180-68-7704;276-64-0016;355,00;;;
493;307-86-4146;508-38-2534;375,00;;;
494;782-21-0023;182-91-9414;67,00;;;
495;381-51-7467;508-38-2534;816,00;;;
496;500-80-0113;577-36-4160;590,00;;;
497;645-83-0179;114-49-3228;983,00;;;
498;685-29-3762;827-17-8065;788,00;;;
499;616-64-4164;542-47-0145;1000,00;;;
500;736-74-0267;350-76-4581;984,00;;;
501;322-84-0335;776-52-9204;280,00;;;
502;114-49-3228;711-12-7607;727,00;;;
503;685-29-3762;127-07-1934;618,00;;;
504;592-89-3532;230-71-0031;597,00;;;
505;267-02-2620;147-58-0553;698,00;;;
506;395-96-3422;448-98-4201;192,00;;;
507;685-29-3762;381-51-7467;414,00;;;
508;484-85-3577;230-71-0031;312,00;;;
509;500-80-0113;737-39-6279;269,00;;;
510;448-98-4201;473-92-2173;526,00;;;
511;137-59-6823;473-92-2173;867,00;;;
512;652-85-6112;505-06-4182;337,00;;;
513;897-83-6353;359-33-2805;305,00;;;
514;814-47-7782;267-02-2620;435,00;;;
515;473-92-2173;380-33-3471;954,00;;;
516;318-72-3945;665-74-7482;947,00;;;
517;137-59-6823;643-85-8364;477,00;;;
518;462-20-3505;653-73-2887;689,00;;;
519;664-94-4158;312-06-7133;601,00;;;
520;814-47-7782;147-58-0553;251,00;;;
521;231-62-0816;592-89-3532;398,00;;;
522;312-06-7133;484-85-3577;658,00;;;
523;616-64-4164;508-38-2534;458,00;;;
524;643-85-8364;381-51-7467;424,00;;;
525;211-62-3861;665-74-7482;177,00;;;
526;473-92-2173;610-96-4049;81,00;;;
527;701-29-0287;815-75-0678;652,00;;;
528;363-69-7373;604-17-4858;123,00;;;
529;127-07-1934;726-98-9896;505,00;;;
530;211-62-3861;187-44-4055;859,00;;;
531;307-86-4146;211-62-3861;168,00;;;
532;180-68-7704;700-19-8202;544,00;;;
533;737-39-6279;897-83-6353;685,00;;;
534;318-72-3945;307-86-4146;996,00;;;
535;610-96-4049;187-44-4055;103,00;;;
536;652-85-6112;322-84-0335;835,00;;;
537;776-52-9204;418-32-2400;507,00;;;
538;230-71-0031;838-85-9491;308,00;;;
539;212-63-7394;418-32-2400;514,00;;;
540;363-69-7373;592-89-3532;843,00;;;
541;722-67-8736;830-73-2137;334,00;;;
542;137-59-6823;307-86-4146;599,00;;;
543;133-42-9805;816-07-9951;265,00;;;
544;685-29-3762;585-26-7329;672,00;;;
545;867-72-5617;359-33-2805;526,00;;;
546;722-41-3663;848-01-9094;926,00;;;
547;610-96-4049;664-94-4158;373,00;;;
548;897-83-6353;610-96-4049;282,00;;;
549;751-79-3881;664-94-4158;292,00;;;
550;484-97-3669;577-36-4160;529,00;;;
551;751-79-3881;423-59-5269;667,00;;;
552;643-85-8364;869-07-9041;407,00;;;
553;329-95-9039;827-17-8065;343,00;;;
554;726-98-9896;857-48-4236;915,00;;;
555;329-95-9039;816-07-9951;791,00;;;
556;838-85-9491;652-88-6983;58,00;;;
557;736-74-0267;685-29-3762;79,00;;;
558;867-72-5617;267-02-2620;280,00;;;
559;867-72-5617;452-71-0670;363,00;;;
560;178-82-4865;585-26-7329;576,00;;;
561;814-47-7782;592-89-3532;323,00;;;
562;782-21-0023;816-07-9951;186,00;;;
563;473-92-2173;484-97-3669;974,00;;;
564;322-84-0335;897-83-6353;495,00;;;
565;182-91-9414;665-74-7482;624,00;;;
566;879-10-1534;665-74-7482;735,00;;;
567;643-85-8364;212-63-7394;463,00;;;
568;643-85-8364;114-77-8561;150,00;;;
569;776-97-0801;592-89-3532;851,00;;;
570;267-84-4305;610-96-4049;215,00;;;
571;137-59-6823;182-91-9414;779,00;;;
572;267-84-4305;610-96-4049;478,00;;;
573;267-84-4305;592-89-3532;965,00;;;
574;816-07-9951;722-41-3663;829,00;;;
575;844-81-0333;816-07-9951;268,00;;;
576;194-28-1044;380-33-3471;281,00;;;
577;280-72-2823;266-07-5848;172,00;;;
578;604-17-4858;395-96-3422;632,00;;;
579;359-33-2805;879-10-1534;146,00;;;
580;701-29-0287;180-68-7704;102,00;;;
581;857-48-4236;114-77-8561;363,00;;;
582;585-26-7329;350-76-4581;156,00;;;
583;363-69-7373;267-84-4305;248,00;;;
584;289-48-9142;473-92-2173;889,00;;;
585;484-85-3577;440-96-4450;99,00;;;
586;114-77-8561;133-42-9805;807,00;;;
587;280-72-2823;869-07-9041;217,00;;;
588;867-72-5617;231-60-2925;69,00;;;
589;418-32-2400;363-69-7373;798,00;;;
590;897-83-6353;848-01-9094;381,00;;;
591;484-97-3669;132-36-8264;154,00;;;
592;508-38-2534;542-47-0145;442,00;;;
593;816-07-9951;700-19-8202;829,00;;;
594;816-07-9951;585-26-7329;368,00;;;
