id,person_id1,person_id2
331,106-52-3658,106-52-3658
332,182-91-9414,452-71-0670
333,381-51-7467,505-06-4182
334,183-60-8437,652-88-6983
335,653-73-2887,745-18-6689
336,266-07-5848,473-92-2173
337,505-06-4182,322-84-0335
338,395-96-3422,137-59-6823
339,381-51-7467,827-17-8065
340,448-98-4201,133-42-9805
341,811-96-4434,380-33-3471
342,187-44-4055,178-82-4865
343,230-71-0031,381-51-7467
344,782-21-0023,737-39-6279
345,645-83-0179,381-51-7467
346,585-26-7329,127-07-1934
347,231-60-2925,316-16-8079
348,440-96-4450,746-67-6269
349,616-64-4164,643-85-8364
350,183-60-8437,132-36-8264
351,653-73-2887,554-99-3518
352,554-99-3518,830-73-2137
353,505-06-4182,554-99-3518
354,230-71-0031,212-63-7394
355,857-48-4236,664-94-4158
356,827-17-8065,473-92-2173
357,664-94-4158,212-63-7394
358,711-12-7607,782-21-0023
359,884-38-3542,114-49-3228
360,182-91-9414,267-84-4305
361,147-58-0553,187-44-4055
362,462-20-3505,585-26-7329
363,816-07-9951,280-72-2823
364,276-64-0016,652-85-6112
365,827-17-8065,857-48-4236
366,350-76-4581,380-33-3471
367,776-52-9204,212-63-7394
368,652-85-6112,838-85-9491
369,440-96-4450,276-64-0016
370,848-01-9094,267-84-4305
371,212-63-7394,610-96-4049
372,106-52-3658,827-17-8065
373,782-21-0023,322-84-0335
374,289-48-9142,114-49-3228
375,701-29-0287,137-59-6823
376,132-36-8264,816-07-9951
377,183-60-8437,700-19-8202
378,276-64-0016,266-07-5848
379,418-32-2400,350-76-4581
380,592-89-3532,380-33-3471
381,505-06-4182,380-33-3471
382,180-68-7704,737-39-6279
383,267-02-2620,776-52-9204
384,267-84-4305,844-81-0333
385,643-85-8364,505-06-4182
386,395-96-3422,440-96-4450
387,178-82-4865,711-12-7607
388,267-84-4305,505-06-4182
389,838-85-9491,359-33-2805
390,147-58-0553,473-92-2173
391,350-76-4581,533-01-1119
392,664-94-4158,701-29-0287
393,711-12-7607,211-62-3861
394,307-86-4146,827-17-8065
395,127-07-1934,830-73-2137
396,147-58-0553,363-69-7373
397,848-01-9094,737-39-6279
398,500-80-0113,182-91-9414
399,897-83-6353,440-96-4450
400,884-38-3542,147-58-0553
401,652-88-6983,230-71-0031
402,114-77-8561,554-99-3518
403,857-48-4236,776-97-0801
404,884-38-3542,722-41-3663
405,506-40-7881,500-80-0113
406,848-01-9094,500-80-0113
407,322-84-0335,652-88-6983
408,869-07-9041,751-79-3881
409,395-96-3422,604-17-4858
410,610-96-4049,700-19-8202
411,178-82-4865,114-49-3228
412,316-16-8079,187-44-4055
413,468-77-4288,322-84-0335
414,685-29-3762,211-62-3861
415,280-72-2823,722-67-8736
416,592-89-3532,610-96-4049
417,577-36-4160,316-16-8079
418,722-41-3663,838-85-9491
419,293-16-7638,280-72-2823
420,857-48-4236,180-68-7704
421,276-64-0016,307-86-4146
422,700-19-8202,267-84-4305
423,616-64-4164,462-20-3505
424,610-96-4049,736-74-0267
425,137-59-6823,452-71-0670
426,114-77-8561,604-17-4858
427,542-47-0145,746-67-6269
428,726-98-9896,857-48-4236
429,554-99-3518,508-38-2534
430,701-29-0287,884-38-3542
431,106-52-3658,187-44-4055
432,700-19-8202,506-40-7881
433,462-20-3505,318-72-3945
434,267-84-4305,114-77-8561
435,289-48-9142,577-36-4160
436,307-86-4146,814-47-7782
437,329-95-9039,844-81-0333
438,645-83-0179,106-52-3658
439,267-84-4305,363-69-7373
440,867-72-5617,776-97-0801
441,484-85-3577,652-85-6112
442,267-84-4305,746-67-6269
443,652-88-6983,289-48-9142
444,652-85-6112,653-73-2887
445,133-42-9805,610-96-4049
446,468-77-4288,554-99-3518
447,452-71-0670,440-96-4450
448,484-85-3577,180-68-7704
449,473-92-2173,484-85-3577
450,722-41-3663,473-92-2173
451,844-81-0333,604-17-4858
452,867-72-5617,533-01-1119
453,484-85-3577,726-98-9896
454,137-59-6823,736-74-0267
455,178-82-4865,500-80-0113
456,114-77-8561,711-12-7607
457,147-58-0553,440-96-4450
458,473-92-2173,423-59-5269
459,293-16-7638,816-07-9951
460,652-85-6112,183-60-8437
461,815-75-0678,183-60-8437
462,114-77-8561,542-47-0145
463,211-62-3861,289-48-9142
464,183-60-8437,827-17-8065
465,505-06-4182,280-72-2823
466,473-92-2173,776-97-0801
467,700-19-8202,506-40-7881
468,127-07-1934,869-07-9041
469,554-99-3518,363-69-7373
470,182-91-9414,106-52-3658
471,194-28-1044,867-72-5617
472,133-42-9805,884-38-3542
473,722-67-8736,585-26-7329
474,782-21-0023,879-10-1534
475,133-42-9805,114-77-8561
476,267-84-4305,776-97-0801
477,280-72-2823,700-19-8202
478,585-26-7329,381-51-7467
479,711-12-7607,645-83-0179
480,114-77-8561,505-06-4182
481,814-47-7782,183-60-8437
482,508-38-2534,857-48-4236
483,848-01-9094,114-77-8561
484,737-39-6279,776-52-9204
485,484-97-3669,838-85-9491
486,879-10-1534,722-41-3663
487,610-96-4049,462-20-3505
488,462-20-3505,267-02-2620
489,745-18-6689,533-01-1119
490,700-19-8202,827-17-8065
491,231-62-0816,652-88-6983
492,180-68-7704,276-64-0016
493,307-86-4146,508-38-2534
494,782-21-0023,182-91-9414
495,381-51-7467,508-38-2534
496,500-80-0113,577-36-4160
497,645-83-0179,114-49-3228
498,685-29-3762,827-17-8065
499,616-64-4164,542-47-0145
500,736-74-0267,350-76-4581
501,322-84-0335,776-52-9204
502,114-49-3228,711-12-7607
503,685-29-3762,127-07-1934
504,592-89-3532,230-71-0031
505,267-02-2620,147-58-0553
506,395-96-3422,448-98-4201
507,685-29-3762,381-51-7467
508,484-85-3577,230-71-0031
509,500-80-0113,737-39-6279
510,448-98-4201,473-92-2173
511,137-59-6823,473-92-2173
512,652-85-6112,505-06-4182
513,897-83-6353,359-33-2805
514,814-47-7782,267-02-2620
515,473-92-2173,380-33-3471
516,318-72-3945,665-74-7482
517,137-59-6823,643-85-8364
518,462-20-3505,653-73-2887
519,664-94-4158,312-06-7133
520,814-47-7782,147-58-0553
521,231-62-0816,592-89-3532
522,312-06-7133,484-85-3577
523,616-64-4164,508-38-2534
524,643-85-8364,381-51-7467
525,211-62-3861,665-74-7482
526,473-92-2173,610-96-4049
527,701-29-0287,815-75-0678
528,363-69-7373,604-17-4858
529,127-07-1934,726-98-9896
530,211-62-3861,187-44-4055
531,307-86-4146,211-62-3861
532,180-68-7704,700-19-8202
533,737-39-6279,897-83-6353
534,318-72-3945,307-86-4146
535,610-96-4049,187-44-4055
536,652-85-6112,322-84-0335
537,776-52-9204,418-32-2400
538,230-71-0031,838-85-9491
539,212-63-7394,418-32-2400
540,363-69-7373,592-89-3532
541,722-67-8736,830-73-2137
542,137-59-6823,307-86-4146
543,133-42-9805,816-07-9951
544,685-29-3762,585-26-7329
545,867-72-5617,359-33-2805
546,722-41-3663,848-01-9094
547,610-96-4049,664-94-4158
548,897-83-6353,610-96-4049
549,751-79-3881,664-94-4158
550,484-97-3669,577-36-4160
551,751-79-3881,423-59-5269
552,643-85-8364,869-07-9041
553,329-95-9039,827-17-8065
554,726-98-9896,857-48-4236
555,329-95-9039,816-07-9951
556,838-85-9491,652-88-6983
557,736-74-0267,685-29-3762
558,867-72-5617,267-02-2620
559,867-72-5617,452-71-0670
560,178-82-4865,585-26-7329
561,814-47-7782,592-89-3532
562,782-21-0023,816-07-9951
563,473-92-2173,484-97-3669
564,322-84-0335,897-83-6353
565,182-91-9414,665-74-7482
566,879-10-1534,665-74-7482
567,643-85-8364,212-63-7394
568,643-85-8364,114-77-8561
569,776-97-0801,592-89-3532
570,267-84-4305,610-96-4049
571,137-59-6823,182-91-9414
572,267-84-4305,610-96-4049
573,267-84-4305,592-89-3532
574,816-07-9951,722-41-3663
575,844-81-0333,816-07-9951
576,194-28-1044,380-33-3471
577,280-72-2823,266-07-5848
578,604-17-4858,395-96-3422
579,359-33-2805,879-10-1534
580,701-29-0287,180-68-7704
581,857-48-4236,114-77-8561
582,585-26-7329,350-76-4581
583,363-69-7373,267-84-4305
584,289-48-9142,473-92-2173
585,484-85-3577,440-96-4450
586,114-77-8561,133-42-9805
587,280-72-2823,869-07-9041
588,867-72-5617,231-60-2925
589,418-32-2400,363-69-7373
590,897-83-6353,848-01-9094
591,484-97-3669,132-36-8264
592,508-38-2534,542-47-0145
593,816-07-9951,700-19-8202
594,816-07-9951,585-26-7329
595,322-84-0335,776-52-9204
596,652-85-6112,815-75-0678
597,879-10-1534,869-07-9041
598,653-73-2887,685-29-3762
599,848-01-9094,289-48-9142
600,711-12-7607,440-96-4450
601,897-83-6353,542-47-0145
602,276-64-0016,869-07-9041
603,211-62-3861,182-91-9414
604,316-16-8079,665-74-7482
605,685-29-3762,312-06-7133
606,267-02-2620,577-36-4160
607,266-07-5848,395-96-3422
608,711-12-7607,381-51-7467
609,736-74-0267,652-85-6112
610,484-97-3669,653-73-2887
611,266-07-5848,815-75-0678
612,293-16-7638,736-74-0267
613,616-64-4164,280-72-2823
614,897-83-6353,711-12-7607
615,652-85-6112,746-67-6269
616,276-64-0016,592-89-3532
617,322-84-0335,782-21-0023
618,322-84-0335,147-58-0553
619,267-84-4305,653-73-2887
620,643-85-8364,318-72-3945
621,194-28-1044,844-81-0333
622,276-64-0016,230-71-0031
623,776-52-9204,418-32-2400
624,363-69-7373,381-51-7467
625,664-94-4158,645-83-0179
626,194-28-1044,737-39-6279
627,183-60-8437,585-26-7329
628,776-52-9204,440-96-4450
629,604-17-4858,276-64-0016
630,867-72-5617,811-29-1135
631,869-07-9041,267-84-4305
632,423-59-5269,137-59-6823
633,542-47-0145,776-97-0801
634,500-80-0113,473-92-2173
635,816-07-9951,505-06-4182
636,363-69-7373,737-39-6279
637,178-82-4865,746-67-6269
638,418-32-2400,380-33-3471
639,610-96-4049,811-96-4434
640,266-07-5848,610-96-4049
641,848-01-9094,776-97-0801
642,616-64-4164,440-96-4450
643,194-28-1044,114-77-8561
644,231-62-0816,505-06-4182
645,178-82-4865,745-18-6689
646,542-47-0145,187-44-4055
647,395-96-3422,307-86-4146
648,106-52-3658,811-29-1135
649,776-52-9204,701-29-0287
650,815-75-0678,194-28-1044
651,577-36-4160,500-80-0113
652,815-75-0678,815-75-0678
653,280-72-2823,448-98-4201
654,610-96-4049,700-19-8202
655,462-20-3505,114-77-8561
656,857-48-4236,423-59-5269
657,827-17-8065,500-80-0113
658,506-40-7881,106-52-3658
659,867-72-5617,267-84-4305
660,643-85-8364,643-85-8364
661,500-80-0113,664-94-4158
662,307-86-4146,827-17-8065
663,751-79-3881,869-07-9041
664,187-44-4055,500-80-0113
665,701-29-0287,133-42-9805
666,664-94-4158,884-38-3542
667,751-79-3881,484-85-3577
668,322-84-0335,711-12-7607
669,827-17-8065,508-38-2534
670,187-44-4055,183-60-8437
671,505-06-4182,816-07-9951
672,187-44-4055,312-06-7133
673,182-91-9414,737-39-6279
674,267-02-2620,643-85-8364
675,462-20-3505,114-49-3228
676,114-77-8561,585-26-7329
677,884-38-3542,857-48-4236
678,827-17-8065,746-67-6269
679,542-47-0145,726-98-9896
680,776-52-9204,592-89-3532
681,484-85-3577,751-79-3881
682,484-85-3577,815-75-0678
683,816-07-9951,685-29-3762
684,180-68-7704,542-47-0145
685,114-49-3228,266-07-5848
686,652-88-6983,751-79-3881
687,782-21-0023,395-96-3422
688,395-96-3422,423-59-5269
689,726-98-9896,316-16-8079
690,106-52-3658,380-33-3471
691,380-33-3471,604-17-4858
692,505-06-4182,440-96-4450
693,147-58-0553,133-42-9805
694,533-01-1119,329-95-9039
695,746-67-6269,363-69-7373
696,711-12-7607,395-96-3422
697,462-20-3505,643-85-8364
698,711-12-7607,484-97-3669
699,645-83-0179,211-62-3861
700,726-98-9896,322-84-0335
701,266-07-5848,665-74-7482
702,289-48-9142,857-48-4236
703,266-07-5848,363-69-7373
704,816-07-9951,737-39-6279
705,811-29-1135,665-74-7482
706,178-82-4865,722-67-8736
707,363-69-7373,230-71-0031
708,776-97-0801,701-29-0287
709,737-39-6279,685-29-3762
710,127-07-1934,452-71-0670
711,187-44-4055,380-33-3471
712,178-82-4865,114-77-8561
713,484-97-3669,736-74-0267
714,280-72-2823,542-47-0145
715,776-52-9204,194-28-1044
716,830-73-2137,577-36-4160
717,726-98-9896,830-73-2137
718,542-47-0145,505-06-4182
719,322-84-0335,844-81-0333
720,897-83-6353,736-74-0267
721,700-19-8202,610-96-4049
722,127-07-1934,178-82-4865
723,653-73-2887,114-77-8561
724,645-83-0179,267-84-4305
725,645-83-0179,701-29-0287
726,231-62-0816,380-33-3471
727,114-49-3228,316-16-8079
728,722-41-3663,811-96-4434
729,267-84-4305,616-64-4164
730,533-01-1119,147-58-0553
731,827-17-8065,722-41-3663
732,554-99-3518,751-79-3881
733,452-71-0670,133-42-9805
734,616-64-4164,289-48-9142
735,267-84-4305,106-52-3658
736,827-17-8065,508-38-2534
737,289-48-9142,811-29-1135
738,133-42-9805,137-59-6823
739,137-59-6823,231-62-0816
740,276-64-0016,533-01-1119
741,380-33-3471,610-96-4049
742,359-33-2805,266-07-5848
743,418-32-2400,230-71-0031
744,363-69-7373,381-51-7467
745,231-60-2925,776-97-0801
746,505-06-4182,230-71-0031
747,468-77-4288,751-79-3881
748,604-17-4858,782-21-0023
749,329-95-9039,211-62-3861
750,577-36-4160,500-80-0113
751,359-33-2805,106-52-3658
752,194-28-1044,848-01-9094
753,722-41-3663,267-02-2620
754,685-29-3762,664-94-4158
755,838-85-9491,127-07-1934
756,745-18-6689,867-72-5617
757,616-64-4164,231-60-2925
758,267-02-2620,827-17-8065
759,701-29-0287,133-42-9805
760,363-69-7373,211-62-3861
761,814-47-7782,604-17-4858
762,114-49-3228,132-36-8264
763,811-96-4434,318-72-3945
764,182-91-9414,776-97-0801
765,811-96-4434,664-94-4158
766,194-28-1044,312-06-7133
767,137-59-6823,782-21-0023
768,267-02-2620,462-20-3505
769,869-07-9041,869-07-9041
770,147-58-0553,230-71-0031
771,381-51-7467,838-85-9491
772,645-83-0179,533-01-1119
773,585-26-7329,440-96-4450
774,106-52-3658,869-07-9041
775,468-77-4288,701-29-0287
776,508-38-2534,645-83-0179
777,685-29-3762,440-96-4450
778,838-85-9491,665-74-7482
779,746-67-6269,776-97-0801
780,147-58-0553,468-77-4288
781,316-16-8079,280-72-2823
782,316-16-8079,137-59-6823
783,132-36-8264,643-85-8364
784,838-85-9491,745-18-6689
785,363-69-7373,776-52-9204
786,737-39-6279,585-26-7329
787,182-91-9414,133-42-9805
788,701-29-0287,844-81-0333
789,827-17-8065,616-64-4164
790,329-95-9039,814-47-7782
791,211-62-3861,533-01-1119
792,737-39-6279,665-74-7482
793,133-42-9805,811-29-1135
794,664-94-4158,380-33-3471
795,751-79-3881,137-59-6823
796,701-29-0287,830-73-2137
797,468-77-4288,178-82-4865
798,776-97-0801,307-86-4146
799,293-16-7638,322-84-0335
800,652-85-6112,395-96-3422
801,276-64-0016,726-98-9896
802,776-52-9204,231-62-0816
803,652-88-6983,505-06-4182
804,830-73-2137,133-42-9805
805,211-62-3861,114-49-3228
806,381-51-7467,816-07-9951
807,610-96-4049,316-16-8079
808,776-52-9204,133-42-9805
809,182-91-9414,577-36-4160
810,350-76-4581,147-58-0553
811,505-06-4182,811-96-4434
812,879-10-1534,869-07-9041
813,350-76-4581,585-26-7329
814,827-17-8065,816-07-9951
815,811-96-4434,746-67-6269
816,350-76-4581,452-71-0670
817,500-80-0113,592-89-3532
818,452-71-0670,653-73-2887
819,700-19-8202,276-64-0016
820,542-47-0145,452-71-0670
821,726-98-9896,322-84-0335
822,653-73-2887,267-84-4305
823,180-68-7704,381-51-7467
824,114-77-8561,506-40-7881
825,318-72-3945,867-72-5617
826,505-06-4182,665-74-7482
827,506-40-7881,711-12-7607
828,585-26-7329,359-33-2805
829,133-42-9805,879-10-1534
830,231-60-2925,318-72-3945
831,722-41-3663,211-62-3861
832,745-18-6689,350-76-4581
833,897-83-6353,484-85-3577
834,838-85-9491,318-72-3945
835,653-73-2887,212-63-7394
836,147-58-0553,776-52-9204
837,869-07-9041,468-77-4288
838,106-52-3658,746-67-6269
839,533-01-1119,293-16-7638
840,815-75-0678,289-48-9142
841,178-82-4865,604-17-4858
842,194-28-1044,664-94-4158
843,500-80-0113,776-52-9204
844,867-72-5617,350-76-4581
845,610-96-4049,508-38-2534
846,266-07-5848,838-85-9491
847,187-44-4055,665-74-7482
848,182-91-9414,468-77-4288
849,745-18-6689,645-83-0179
850,736-74-0267,468-77-4288
851,508-38-2534,187-44-4055
852,616-64-4164,359-33-2805
853,350-76-4581,533-01-1119
854,231-60-2925,133-42-9805
855,212-63-7394,745-18-6689
856,359-33-2805,815-75-0678
857,685-29-3762,897-83-6353
858,776-97-0801,737-39-6279
859,468-77-4288,187-44-4055
860,884-38-3542,815-75-0678
861,473-92-2173,211-62-3861
862,178-82-4865,183-60-8437
863,533-01-1119,722-67-8736
864,132-36-8264,418-32-2400
865,307-86-4146,811-96-4434
866,811-96-4434,830-73-2137
867,577-36-4160,423-59-5269
868,468-77-4288,381-51-7467
869,751-79-3881,665-74-7482
870,132-36-8264,897-83-6353
871,652-88-6983,187-44-4055
872,505-06-4182,711-12-7607
873,468-77-4288,857-48-4236
