id,person_id,bank_id
126,604-17-4858,41167-0850
127,782-21-0023,57520-0522
128,577-36-4160,53808-0776
129,827-17-8065,41167-0850
130,473-92-2173,54868-3742
131,604-17-4858,0187-0798
132,610-96-4049,0517-2710
133,751-79-3881,54838-154
134,293-16-7638,68462-385
135,484-97-3669,21695-703
136,879-10-1534,41167-0850
137,811-96-4434,41520-410
138,542-47-0145,11822-0323
139,106-52-3658,0904-5834
140,884-38-3542,21130-294
141,838-85-9491,59630-112
142,127-07-1934,42213-162
143,652-85-6112,13811-647
144,267-84-4305,43553-3249
145,505-06-4182,0187-0798
146,736-74-0267,60432-830
147,782-21-0023,21130-294
148,879-10-1534,0071-0222
149,616-64-4164,41167-0850
150,652-88-6983,43742-0088
151,776-52-9204,0517-2710
152,230-71-0031,41167-0850
153,838-85-9491,13811-647
154,726-98-9896,36987-1194
155,867-72-5617,59630-112
156,610-96-4049,64679-217
157,746-67-6269,42213-162
158,700-19-8202,46414-8888
159,827-17-8065,0517-2710
160,505-06-4182,36987-1194
161,230-71-0031,13811-647
162,178-82-4865,36987-1194
163,106-52-3658,21130-294
164,484-97-3669,53808-0776
165,484-85-3577,43742-0088
166,776-97-0801,49708-146
167,187-44-4055,0904-5834
168,280-72-2823,0071-0222
169,267-84-4305,46414-8888
170,106-52-3658,0517-2710
171,815-75-0678,52054-513
172,423-59-5269,57520-0509
173,722-67-8736,49708-146
174,652-85-6112,43742-0088
175,506-40-7881,43553-3249
176,897-83-6353,60432-830
177,592-89-3532,42213-162
178,879-10-1534,54868-3742
179,722-41-3663,21130-294
180,577-36-4160,13811-647
181,183-60-8437,68462-385
182,577-36-4160,43742-0088
183,133-42-9805,46414-8888
184,452-71-0670,43742-0088
185,577-36-4160,53808-0776
186,745-18-6689,36987-1194
187,533-01-1119,46414-8888
188,180-68-7704,0517-2710
189,585-26-7329,57520-0509
190,827-17-8065,41167-0850
191,533-01-1119,13811-647
192,751-79-3881,68462-385
193,380-33-3471,59021-012
194,776-97-0801,0187-0798
195,183-60-8437,42213-162
196,180-68-7704,41520-410
197,554-99-3518,59630-112
198,533-01-1119,50114-2282
199,132-36-8264,41167-0850
200,867-72-5617,43553-3249
